full_name,Goals,Value (M),Goals/Value
Filip Kostić,0,14,0
Hakim Ziyech,0,23,0
Sadio Mané,1,39,39
Jamie Vardy,0,17,0
Mohamed Salah,2,32.5,16.25
Leon Goretzka,0,30,0
Raphaël Guerreiro,0,24,0
Piotr Zieliński,0,20.5,0
Paulo Dybala,0,79,0
Dele Alli,1,43,43
Paolo Hurtado,0,8.5,0
Nicolás Tagliafico,0,14,0
Timo Werner,0,30.5,0
Julian Brandt,0,22,0
Leander Dendoncker,0,15,0
Joshua Kimmich,0,20.5,0
Óscar Duarte,0,7,0
Mohamed Elneny,0,10,0
Roman Zobnin,0,10.5,0
Diego Laxalt,0,13.5,0
Thomas Lemar,0,38.5,0
Andreas Christensen,0,23,0
Sardar Azmoun,0,13.5,0
Franco Armani,0,5.5,0
Youssouf Sabaly,0,9.5,0
N'Golo Kanté,0,52.5,0
Tin Jedvaj,0,10,0
Marcelo Brozović,0,23,0
Andrej Kramarić,1,22,22
Youri Tielemans,0,23.5,0
Nabil Fekir,0,28,0
José Izquierdo,0,13,0
Corentin Tolisso,0,30.5,0
Matias Vecino,0,13,0
Andrija Živković,0,14,0
Davinson Sánchez,0,21.5,0
Lucas Hernández,0,13.5,0
Erick Gutiérrez,0,11,0
Lovre Kalinić,0,7,0
Hirving Lozano,1,14.5,14.5
Breel Embolo,0,14,0
Sergej Milinković-Savić,0,20,0
Marcos Acuña,0,16,0
Martín Campaña,0,11,0
Presnel Kimpembe,0,12,0
Kasper Dolberg,0,16.5,0
Yoshinori Mutō,0,10.5,0
Marko Pjaca,0,12.5,0
Andrey Lunev,0,9,0
Ousmane Dembélé,0,40,0
Marcus Rashford,0,22,0
Kylian Mbappé,4,41.5,10.375
